"OS_TOID","EASTING","NORTHING","LATITUDE","LONGITUDE","OA","LSOA","MSOA","WARD_CODE","WARD","ADMINISTRATIVE_AREA","KWH","PEAK_KW","DECS","EPCS","RESI_COUNT","NONRESI_COUNT","DEMAND_ESTIMATION_METHOD"
"osgb1000001802785957",533351,181999,51.5211762,-0.0793198,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",4161223.45890626,1173.26635742188,0,0,0,6,"Building geometry prediction"
"osgb1000001802785968",533302,181985,51.521062,-0.0800309,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",3157956.85597563,895.658752441406,0,3,0,2,"Building geometry prediction"
"osgb1000001802788149",532946,181643,51.5180725,-0.0852881,"E00166755","E01032739","E02000001","E05009299","Coleman Street","CITY OF LONDON",2231504.93565724,639.305908203125,0,1,0,5,"Building geometry prediction"
"osgb1000001802788165",532167,181262,51.5148313,-0.0966517,"E00000024","E01032739","E02000001","E05009298","Cheap","CITY OF LONDON",1546767.01609886,449.836334228516,0,1,0,5,"Building geometry prediction"
"osgb1000001802789095",531200,181418,51.5164584,-0.1105215,"E00190440","E01032740","E02000001","E05009305","Farringdon Without","CITY OF LONDON",388665.486728403,129.385223388672,0,0,0,1,"Building geometry prediction"
"osgb1000001802789098",531138,181308,51.5154842,-0.1114554,"E00000028","E01032740","E02000001","E05009305","Farringdon Without","CITY OF LONDON",394179.39420686,130.910934448242,0,0,0,1,"Building geometry prediction"
"osgb1000001802789474",532564.92,181489.880000001,51.516786,-0.0908348,"E00166755","E01032739","E02000001","E05009290","Bassishaw","CITY OF LONDON",1890883.85327257,545.054809570312,0,1,0,1,"Building geometry prediction"
"osgb1000001802790472",532384,181195,51.5141784,-0.0935514,"E00166757","E01032739","E02000001","E05009298","Cheap","CITY OF LONDON",1526275.08178381,444.166137695312,0,1,0,9,"Building geometry prediction"
"osgb1000001802790530",532870,181213,51.5142262,-0.0865448,"E00166755","E01032739","E02000001","E05009312","Walbrook","CITY OF LONDON",1852748.02037137,534.50244140625,0,3,0,4,"Building geometry prediction"
"osgb1000001802791861",533132,181005,51.5122953,-0.0828498,"E00190458","E01032739","E02000001","E05009306","Langbourn","CITY OF LONDON",488295.254897003,156.953170776367,0,1,0,6,"Building geometry prediction"
"osgb1000001802794707",532576,181274,51.5148434,-0.0907563,"E00166755","E01032739","E02000001","E05009312","Walbrook","CITY OF LONDON",621743.149277692,193.878707885742,0,0,0,2,"Building geometry prediction"
"osgb1000001802798403",532707,181320,51.515226,-0.0888522,"E00166755","E01032739","E02000001","E05009295","Broad Street","CITY OF LONDON",438909.254883172,143.287857055664,0,0,0,1,"Building geometry prediction"
"osgb1000001802798548",531631.45,181342.51,51.5156798,-0.1043352,"E00190440","E01032740","E02000001","E05009304","Farringdon Within","CITY OF LONDON",1203698.09823531,354.907836914062,0,2,0,3,"Building geometry prediction"
"osgb1000001802798554",531779,181246,51.5147781,-0.1022461,"E00190440","E01032740","E02000001","E05009304","Farringdon Within","CITY OF LONDON",7911.66012404943,24.0291862487793,0,0,0,1,"Building geometry prediction"
"osgb1000001802805535",532882,181503,51.5168294,-0.0862627,"E00166755","E01032739","E02000001","E05009295","Broad Street","CITY OF LONDON",48039.307255461,35.1326599121094,0,1,0,1,"Building geometry prediction"
"osgb1000001802806310",533064.43,181749.689999999,51.5190034,-0.0835419,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",276805.509238242,98.4331436157227,0,0,0,3,"Building geometry prediction"
"osgb1000001802806325",533436,181549,51.5171122,-0.0782657,"E00000030","E01000005","E02000001","E05009292","Bishopsgate","CITY OF LONDON",942446.590311149,282.618591308594,0,0,0,4,"Building geometry prediction"
"osgb1000001802806326",533357,181563,51.5172567,-0.0793983,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",15620.0818098472,27.1904716491699,0,1,1,0,"Building geometry prediction"
"osgb1000001802806344",533174,181556,51.517237,-0.0820368,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",8013.5799947097,24.0573883056641,0,0,0,1,"Building geometry prediction"
"osgb1000001802806347",533181,181552,51.5171994,-0.0819375,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",7991.49874273155,24.0512790679932,0,0,0,1,"Building geometry prediction"
"osgb1000001802806351",533133,181553,51.5172197,-0.0826285,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",9062.4460320847,24.3476142883301,0,0,0,1,"Building geometry prediction"
"osgb1000001802806352",533159,181551,51.5171956,-0.0822548,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",8991.01147852701,24.3278465270996,0,1,0,3,"Building geometry prediction"
"osgb1000001802806362",533111,181552,51.5172159,-0.0829458,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",7869.26758837329,24.0174560546875,0,0,0,1,"Building geometry prediction"
"osgb1000001802806363",533127,181553,51.5172211,-0.0827149,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",7869.26758837329,24.0174560546875,0,0,0,1,"Building geometry prediction"
"osgb1000001802806384",533164,181551,51.5171944,-0.0821827,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",7955.10623312539,24.0412082672119,0,1,0,1,"Building geometry prediction"
"osgb1000001802806386",533146,181552,51.5172076,-0.0824416,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",8156.19950214184,24.096851348877,0,0,0,1,"Building geometry prediction"
"osgb1000001802806387",533141,181543,51.5171279,-0.082517,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",7936.05608466908,24.0359363555908,0,0,0,1,"Building geometry prediction"
"osgb1000001802806388",533132,181544,51.517139,-0.0826463,"E00166755","E01032739","E02000001","E05009292","Bishopsgate","CITY OF LONDON",7914.61678556048,24.0300045013428,0,0,0,1,"Building geometry prediction"
